"Accession","SPC","SURFY","Town","Cunha","Diaz.Ramos"
"Q6UB28",0,0,0,0,0
"Q5VV43",3,1,1,1,0
"Q96S86",0,0,0,0,0
"Q9NVH2",0,0,0,0,0
"Q9UNL4",0,0,0,0,0
"Q5W064",0,0,0,0,0
"Q9Y691",2,1,0,1,0
"P52849",1,0,1,0,0
"P56975",2,0,1,1,0
"Q969N2",2,1,1,0,0
"Q8NHC5",3,1,1,1,0
"P17081",0,0,0,0,0
"Q15287",0,0,0,0,0
"P57771",0,0,0,0,0
"Q15678",0,0,0,0,0
"Q9P015",0,0,0,0,0
"Q96BH1",0,0,0,0,0
"Q14498",0,0,0,0,0
"P26045",0,0,0,0,0
"P30050",0,0,0,0,0
"Q8NCN4",0,0,0,0,0
"Q68DV7",3,1,1,1,0
"Q9Y2P5",0,0,0,0,0
"Q14761",3,0,1,1,1
"P52815",0,0,0,0,0
"Q15363",1,0,1,0,0
"P0CG35",0,0,0,0,0
"P07204",4,1,1,1,1
"Q9BWF2",0,0,0,0,0
"O94901",1,0,1,0,0
"Q6PL24",0,0,0,0,0
"O75529",0,0,0,0,0
"Q8TDR2",0,0,0,0,0
"Q8TEA7",0,0,0,0,0
"O14662",1,0,1,0,0
"Q9BYX2",0,0,0,0,0
"Q86Y82",1,0,1,0,0
"O14994",0,0,0,0,0
"O94972",0,0,0,0,0
"Q9C037",0,0,0,0,0
"A6NKL6",1,0,1,0,0
"A0A1B0GTI8",0,0,0,0,0
"Q9NRL3",0,0,0,0,0
"P01033",0,0,0,0,0
"Q15393",0,0,0,0,0
"Q8TBC3",0,0,0,0,0
"O60292",0,0,0,0,0
"Q11201",1,0,1,0,0
"Q9BXJ8",2,0,1,1,0
"Q07654",0,0,0,0,0
"Q5SV17",0,0,0,0,0
"Q6UXN7",1,0,1,0,0
"P41440",4,1,1,1,1
"O75094",0,0,0,0,0
"O75368",0,0,0,0,0
"Q9GZT5",0,0,0,0,0
"P17022",0,0,0,0,0
"O00744",0,0,0,0,0
"O14771",0,0,0,0,0
"Q6ZVU0",0,0,0,0,0
"Q9NNW5",0,0,0,0,0
"P51504",0,0,0,0,0
"P67809",0,0,0,0,0
"Q5VUA4",0,0,0,0,0
"Q7L945",0,0,0,0,0
"O15537",0,0,0,0,0
"Q6PML9",1,0,1,0,0
"Q6AW86",0,0,0,0,0
"Q0WX57",0,0,0,0,0
"Q8TAQ5",0,0,0,0,0
"A0A599",0,0,0,0,0
"C9JVI0",0,0,0,0,0
"B2RXF5",0,0,0,0,0
"Q96NA8",2,0,1,1,0
"Q6ZSS3",0,0,0,0,0
"Q3KQV9",0,0,0,0,0
"Q9UJN7",0,0,0,0,0
"Q5T200",0,0,0,0,0
"A0A087WT02",0,0,0,0,0
"Q6AZW8",0,0,0,0,0
"Q641Q2",0,0,0,0,0
"Q2NL98",0,0,0,0,0
"O95231",0,0,0,0,0
"Q96SZ4",0,0,0,0,0
"Q96IR3",0,0,0,0,0
"O43309",0,0,0,0,0
"Q8WTZ3",0,0,0,0,0
"Q8N0U8",1,0,0,1,0
"Q5PR19",0,0,0,0,0
"Q9Y2I8",0,0,0,0,0
"Q8NI36",0,0,0,0,0
"P16989",0,0,0,0,0
"Q15649",0,0,0,0,0
"Q6P1L6",0,0,0,0,0
"O75317",0,0,0,0,0
"A0A0B4J266",0,0,0,0,0
"Q6GPH4",0,0,0,0,0
"Q71RG6",0,0,0,0,0
"Q96DA0",0,0,0,0,0
"Q6UXV3",0,0,0,0,0
"Q12999",3,1,1,1,0
"A2RRH5",0,0,0,0,0
"Q06730",0,0,0,0,0
"Q9H6R7",0,0,0,0,0
"A8MZ25",0,0,0,0,0
"Q96I27",0,0,0,0,0
"Q9NYZ1",1,0,0,1,0
"P0CV99",0,0,0,0,0
"Q6NSZ9",0,0,0,0,0
"Q8NHY6",0,0,0,0,0
"Q8IW00",3,1,1,1,0
"Q8TAS1",0,0,0,0,0
"A4D1E1",0,0,0,0,0
"Q6ZMY9",0,0,0,0,0
"Q9NV72",0,0,0,0,0
"Q96K83",0,0,0,0,0
"Q86VN1",0,0,0,0,0
"P45880",1,0,1,0,0
"Q96T88",0,0,0,0,0
"O00308",0,0,0,0,0
"Q9BRR0",0,0,0,0,0
"P26368",0,0,0,0,0
"P60852",3,1,1,1,0
"Q5GH70",1,0,0,1,0
"P19320",4,1,1,1,1
"Q8IZ13",0,0,0,0,0
"A0A0K0K1E9",0,0,0,0,0
"Q96S82",0,0,0,0,0
"Q969T9",0,0,0,0,0
"Q14585",0,0,0,0,0
"Q9C0F3",0,0,0,0,0
"A0A075B6T6",0,0,0,0,0
"Q8N7Q3",0,0,0,0,0
"Q15942",0,0,0,0,0
"Q8TAI1",0,0,0,0,0
"Q9NQA3",0,0,0,0,0
"Q9P2L0",0,0,0,0,0
"Q15906",0,0,0,0,0
"Q16851",0,0,0,0,0
"P55808",2,0,1,1,0
"P0DP72",0,0,0,0,0
"O43592",0,0,0,0,0
"P17019",0,0,0,0,0
"Q9BY31",0,0,0,0,0
"Q5EBM4",0,0,0,0,0
"Q86TJ5",0,0,0,0,0
"Q8N988",0,0,0,0,0
"O95049",0,0,0,0,0
"Q86UQ0",0,0,0,0,0
"Q8TCW7",3,1,1,1,0
"Q7Z5L0",0,0,0,0,0
"Q96JH7",0,0,0,0,0
"O43657",3,1,1,1,0
"Q6BDS2",0,0,0,0,0
"Q5VTQ0",0,0,0,0,0
"Q5T5D7",0,0,0,0,0
"Q8IV45",1,0,1,0,0
"Q6ZTK2",0,0,0,0,0
"Q8NBB4",0,0,0,0,0
"Q6EMB2",0,0,0,0,0
"Q5GFL6",0,0,0,0,0
"Q8N8Y5",0,0,0,0,0
"Q9H7M6",0,0,0,0,0
"Q86U90",0,0,0,0,0
"Q9HCJ5",0,0,0,0,0
"P47992",0,0,0,0,0
"Q15029",0,0,0,0,0
"Q3MIS6",0,0,0,0,0
"Q9BR84",0,0,0,0,0
"Q96QD9",0,0,0,0,0
"Q9Y6I7",0,0,0,0,0
"Q5GH77",2,1,0,1,0
"P49638",0,0,0,0,0
"P17010",0,0,0,0,0
"Q8N9V3",0,0,0,0,0
"Q5GH72",1,0,0,1,0
"Q15776",0,0,0,0,0
"Q86YE8",0,0,0,0,0
"Q15915",0,0,0,0,0
"O95070",2,0,1,1,0
"A6NIX2",0,0,0,0,0
"Q6PHR2",0,0,0,0,0
"Q8N1Y9",1,0,1,0,0
"Q9NVH6",0,0,0,0,0
"Q8N205",2,0,1,1,0
"Q9UGI8",0,0,0,0,0
"Q5JXX7",2,0,1,1,0
"Q5H9E4",2,0,1,1,0
"Q9H2B4",4,1,1,1,1
"H3BQB6",0,0,0,0,0
"O60602",3,1,0,1,1
"Q9NYK1",4,1,1,1,1
"Q7KZ85",0,0,0,0,0
"Q8N616",0,0,0,0,0
"Q13813",0,0,0,0,0
"Q8WV41",0,0,0,0,0
"P24557",1,0,1,0,0
"Q969P6",0,0,0,0,0
"Q9NYW0",2,1,0,1,0
"P02585",0,0,0,0,0
"P53597",0,0,0,0,0
"Q5TD94",0,0,0,0,0
"Q8N9I0",2,0,1,1,0
"A0MZ66",0,0,0,0,0
"O60220",0,0,0,0,0
"Q9Y2V3",0,0,0,0,0
"P58743",3,1,1,1,0
"O15533",1,0,1,0,0
"Q9NPR2",2,1,0,1,0
"P0C7M3",0,0,0,0,0
"Q8TBR7",2,0,1,1,0
"A8MWL7",1,0,1,0,0
"Q8N609",2,0,1,1,0
"Q8N614",2,0,1,1,0
"Q4W5P6",0,0,0,0,0
"Q92854",4,1,1,1,1
"Q9NZ63",0,0,0,0,0
"O60507",1,0,1,0,0
"Q6ZVM7",0,0,0,0,0
"A6NEL2",0,0,0,0,0
"O43151",0,0,0,0,0
"Q8WZ71",2,1,0,1,0
"Q9H2L4",2,0,1,1,0
"Q8N0U2",2,0,1,1,0
"Q9UHP9",0,0,0,0,0
"Q499Z3",0,0,0,0,0
"Q16881",0,0,0,0,0
"Q96IP4",0,0,0,0,0
"Q8NHG7",0,0,0,0,0
"P40225",0,0,0,0,0
"Q9NYV8",3,1,1,1,0
"Q96A09",0,0,0,0,0
"O43711",0,0,0,0,0
"Q9C0D5",0,0,0,0,0
"Q6UW68",2,0,1,1,0
"P19429",0,0,0,0,0
"Q9HCD6",0,0,0,0,0
"Q6P1M0",2,0,1,1,0
"Q9Y5J7",0,0,0,0,0
"Q5T6R2",0,0,0,0,0
"P62861",0,0,0,0,0
"Q8N8V8",1,0,1,0,0
"O43868",4,1,1,1,1
"Q9HCF6",3,0,1,1,1
"Q14542",3,1,0,1,1
"O95793",0,0,0,0,0
"Q15459",0,0,0,0,0
"Q15404",0,0,0,0,0
"O43294",0,0,0,0,0
"A0PK00",1,0,1,0,0
"P37173",4,1,1,1,1
"Q16842",1,0,1,0,0
"Q96L92",0,0,0,0,0
"A8MYB1",1,0,1,0,0
"O95988",0,0,0,0,0
"Q9H6I2",0,0,0,0,0
"P0C7V6",0,0,0,0,0
"Q9NXZ1",0,0,0,0,0
"Q7Z6B7",0,0,0,0,0
"Q04323",0,0,0,0,0
"Q5VZL5",0,0,0,0,0
"Q9Y5W5",0,0,0,0,0
"P83876",0,0,0,0,0
"O14933",0,0,0,0,0
"Q8N2G6",0,0,0,0,0
"Q9Y5K5",0,0,0,0,0
"Q6ZN11",0,0,0,0,0
"Q15672",0,0,0,0,0
"P58317",0,0,0,0,0
"Q5W0Q7",0,0,0,0,0
"Q9H598",2,1,0,1,0
"A6NGB9",0,0,0,0,0
"Q8WVJ9",0,0,0,0,0
"Q8N0Z6",0,0,0,0,0
"Q6ZT77",0,0,0,0,0
"P63146",0,0,0,0,0
"Q5MNZ6",0,0,0,0,0
"O95619",0,0,0,0,0
"Q9BXU2",0,0,0,0,0
"Q8WVZ1",2,0,1,1,0
"P98182",0,0,0,0,0
"Q8N966",2,0,1,1,0
"O43345",0,0,0,0,0
"Q5DID0",3,1,1,1,0
"Q8WVS4",0,0,0,0,0
"Q9UL58",0,0,0,0,0
"P11684",0,0,0,0,0
"P51508",0,0,0,0,0
"Q9NPG3",0,0,0,0,0
"Q5T0B9",0,0,0,0,0
"Q9H1C4",3,1,1,1,0
"Q9H8U3",0,0,0,0,0
"Q6ZR03",0,0,0,0,0
"P46937",0,0,0,0,0
"Q9Y241",2,0,1,1,0
"Q8NE86",1,0,0,1,0
"P48507",0,0,0,0,0
"Q9ULR0",0,0,0,0,0
"Q8WUY8",1,0,1,0,0
"P04000",3,1,1,1,0
"Q9Y536",0,0,0,0,0
"Q96KW2",0,0,0,0,0
"A8MUH7",0,0,0,0,0
"Q13258",3,1,0,1,1
"Q00872",0,0,0,0,0
"Q13952",0,0,0,0,0
"Q96RQ9",0,0,0,0,0
"O43808",2,0,1,1,0
"Q13368",0,0,0,0,0
"Q7RTS5",2,0,1,1,0
"Q9Y520",0,0,0,0,0
"Q9NY27",0,0,0,0,0
"Q01453",2,0,1,1,0
"Q9UBK2",0,0,0,0,0
"P13349",0,0,0,0,0
"Q9P2K5",0,0,0,0,0
"Q15596",0,0,0,0,0
"Q01860",0,0,0,0,0
"Q5UE93",0,0,0,0,0
"O95397",0,0,0,0,0
"O00482",0,0,0,0,0
"Q8IUM7",0,0,0,0,0
"Q6IF82",3,1,1,1,0
"Q8NH19",2,1,0,1,0
"P41220",0,0,0,0,0
"Q9NXS2",2,0,1,1,0
"P10082",0,0,0,0,0
"P46778",0,0,0,0,0
"E7ERA6",1,0,1,0,0
"Q6IPX1",0,0,0,0,0
"P22090",0,0,0,0,0
"Q86VP1",0,0,0,0,0
"Q9NXH8",1,0,1,0,0
"O75157",0,0,0,0,0
"O43556",3,1,1,1,0
"Q6PEX7",1,0,1,0,0
"P13693",0,0,0,0,0
"Q8NA69",0,0,0,0,0
"O76038",0,0,0,0,0
"Q96T68",0,0,0,0,0
"P61764",0,0,0,0,0
"Q14508",0,0,0,0,0
"Q9Y6W5",0,0,0,0,0
"Q8NEZ3",0,0,0,0,0
"A6NCW0",0,0,0,0,0
"A1YPR0",0,0,0,0,0
"Q9HCZ1",0,0,0,0,0
"P35443",0,0,0,0,0
"O43542",0,0,0,0,0
"A0A0B4J263",0,0,0,0,0
"Q5HYK9",0,0,0,0,0
"O75643",0,0,0,0,0
"Q9NXT0",0,0,0,0,0
"A5D8V6",0,0,0,0,0
"Q9BZA0",0,0,0,0,0
"Q3SY52",0,0,0,0,0
"Q8N3U1",0,0,0,0,0
"P08670",0,0,0,0,0
"O95292",2,0,1,1,0
"O97980",0,0,0,0,0
"P49895",1,0,1,0,0
"P41586",3,1,1,1,0
"Q96HT8",0,0,0,0,0
"P50219",0,0,0,0,0
"Q6ZMI0",0,0,0,0,0
"O75151",0,0,0,0,0
"Q8IWS0",0,0,0,0,0
"P16112",0,0,0,0,0
"Q14916",3,1,1,1,0
"P55347",0,0,0,0,0
"Q8NI08",0,0,0,0,0
"P84157",1,0,1,0,0
"Q86VD1",0,0,0,0,0
"Q96LA9",3,1,1,1,0
"Q8IWE2",0,0,0,0,0
"A0A087WVF3",0,0,0,0,0
"P11277",1,0,1,0,0
"Q9BSF4",0,0,0,0,0
"Q7Z5S9",2,0,1,1,0
"Q4W5G0",0,0,0,0,0
"P62847",0,0,0,0,0
"Q2WGJ8",0,0,0,0,0
"P0CI26",0,0,0,0,0
"P27105",1,0,0,1,0
"Q5VZI3",2,0,1,1,0
"Q6P5X7",2,0,1,1,0
"Q6PI26",0,0,0,0,0
"Q8WXE9",0,0,0,0,0
"Q14656",1,0,0,1,0
"Q8N2E6",0,0,0,0,0
"Q9NQ34",3,1,1,1,0
"P16035",1,0,1,0,0
"A6NGB7",1,0,1,0,0
"Q96HU1",0,0,0,0,0
"P78383",1,0,0,1,0
"Q92765",0,0,0,0,0
"O75635",0,0,0,0,0
"Q9Y336",4,1,1,1,1
"Q6UXD7",3,1,1,1,0
"Q2TB10",0,0,0,0,0
"Q8N9S9",0,0,0,0,0
"Q9Y6J8",0,0,0,0,0
"A6NMB1",2,1,1,0,0
"Q9P2R7",0,0,0,0,0
"P51571",1,0,1,0,0
"Q8WUT9",1,0,1,0,0
"Q5JXA9",3,1,1,0,1
"Q6UW49",0,0,0,0,0
"P50991",0,0,0,0,0
"O14628",0,0,0,0,0
"O43541",0,0,0,0,0
"Q8TCU3",2,0,1,1,0
"Q16181",1,0,1,0,0
"P55735",0,0,0,0,0
"Q5T124",0,0,0,0,0
"Q9BYC2",0,0,0,0,0
"A0A1B0GWG4",0,0,0,0,0
"P36402",0,0,0,0,0
"Q9UL12",0,0,0,0,0
"Q9UGP8",1,0,1,0,0
"Q9BT92",0,0,0,0,0
"Q52WX2",0,0,0,0,0
"Q8WVN6",2,1,1,0,0
"P17900",0,0,0,0,0
"H3BR10",1,0,1,0,0
"A6NJR5",0,0,0,0,0
"O60290",0,0,0,0,0
"O95258",0,0,0,0,0
"P17027",0,0,0,0,0
"Q8WTX9",2,0,1,1,0
"Q03923",0,0,0,0,0
"O15060",0,0,0,0,0
"O75954",3,1,1,1,0
"P19075",3,1,1,1,0
"Q9H977",0,0,0,0,0
"Q14966",0,0,0,0,0
"P0CI00",0,0,0,0,0
"H0YL09",0,0,0,0,0
"Q7Z7L7",0,0,0,0,0
"P31629",0,0,0,0,0
"Q9Y4E1",0,0,0,0,0
"Q9H061",1,0,0,1,0
"O15389",4,1,1,1,1
"Q9NR46",0,0,0,0,0
"P21980",0,0,0,0,0
"Q9NP94",2,1,0,1,0
"Q96L03",0,0,0,0,0
"O14543",0,0,0,0,0
"Q9NR45",0,0,0,0,0
"Q16799",0,0,0,0,0
"Q6ZPB5",0,0,0,0,0
"A0PJK1",3,1,1,1,0
"Q9Y4C2",0,0,0,0,0
"A6NFQ2",0,0,0,0,0
"Q96GM5",0,0,0,0,0
"Q99250",3,1,1,1,0
"A0A1B0GU33",0,0,0,0,0
"P0DPE8",0,0,0,0,0
"Q8N6K7",0,0,0,0,0
"Q96LT4",2,0,1,1,0
"Q7Z3H4",0,0,0,0,0
"Q8IYN2",0,0,0,0,0
"O75880",0,0,0,0,0
"Q9P0V8",4,1,1,1,1
"Q86XR7",0,0,0,0,0
"O75333",0,0,0,0,0
"A6NM43",0,0,0,0,0
"Q96QE5",0,0,0,0,0
"Q9Y5Y9",3,1,1,1,0
"P50454",0,0,0,0,0
"Q5VWI1",0,0,0,0,0
"Q13247",0,0,0,0,0
"Q8N9R8",1,0,1,0,0
"Q13425",0,0,0,0,0
"Q8IXZ3",0,0,0,0,0
"Q86U17",0,0,0,0,0
"Q5VXD3",0,0,0,0,0
"Q9Y467",0,0,0,0,0
"A6XGL0",0,0,0,0,0
"Q8NA56",0,0,0,0,0
"P35125",0,0,0,0,0
"Q969T4",0,0,0,0,0
"A8K8V0",0,0,0,0,0
"Q9P202",0,0,0,0,0
"Q7Z2W4",0,0,0,0,0
"Q96RU2",0,0,0,0,0
"Q03924",0,0,0,0,0
"Q9H2Y7",0,0,0,0,0
"Q6UW78",1,0,1,0,0
"Q9NUD5",0,0,0,0,0
"Q15973",0,0,0,0,0
"O75604",0,0,0,0,0
"Q8TF74",0,0,0,0,0
"P52738",0,0,0,0,0
"P16415",0,0,0,0,0
"Q17R98",0,0,0,0,0
"Q9UF83",0,0,0,0,0
"P56703",0,0,0,0,0
"A6NDX5",0,0,0,0,0
"O00507",0,0,0,0,0
"P00749",1,0,1,0,0
"A6NL46",0,0,0,0,0
"A8MT65",0,0,0,0,0
"Q8N0V1",0,0,0,0,0
"Q3LFD5",0,0,0,0,0
"Q5VVX9",0,0,0,0,0
"Q9Y548",2,0,1,1,0
"Q6UX98",1,0,0,1,0
"O95858",3,1,1,1,0
"Q9H4A3",0,0,0,0,0
"Q7RTZ2",0,0,0,0,0
"O60637",4,1,1,1,1
"A0A1B0GX49",0,0,0,0,0
"Q96EX3",0,0,0,0,0
"P63122",0,0,0,0,0
"Q8N895",0,0,0,0,0
"Q96KM6",0,0,0,0,0
"P61236",0,0,0,0,0
"Q96CS4",0,0,0,0,0
"Q6ZSR6",0,0,0,0,0
"O95922",0,0,0,0,0
"P0C7X2",0,0,0,0,0
"P01282",0,0,0,0,0
"Q2TBF2",1,0,1,0,0
"Q8NB66",0,0,0,0,0
"Q8NHE4",2,0,1,1,0
"Q8IV03",0,0,0,0,0
"Q86VS8",0,0,0,0,0
"Q5TA89",0,0,0,0,0
"P17658",2,0,1,1,0
"P22001",3,1,0,1,1
"Q9H903",0,0,0,0,0
"P19404",0,0,0,0,0
"Q9Y255",0,0,0,0,0
"Q58EX7",0,0,0,0,0
"P78364",0,0,0,0,0
"Q9Y697",0,0,0,0,0
"P54845",0,0,0,0,0
"Q96I34",0,0,0,0,0
"Q16557",0,0,0,0,0
"Q9NXR1",1,0,1,0,0
"Q8NHA4",3,1,1,1,0
"Q6ZVN8",3,1,1,1,0
"Q8IYL9",4,1,1,1,1
"Q96C74",0,0,0,0,0
"Q9HAT0",0,0,0,0,0
"Q9H4B7",0,0,0,0,0
"P21731",4,1,1,1,1
"Q13061",1,0,1,0,0
"O75478",0,0,0,0,0
"M5A8F1",0,0,0,0,0
"Q6ZMU5",0,0,0,0,0
"Q9BVV7",2,0,1,1,0
"Q9UBS9",1,1,0,0,0
"Q96RU7",0,0,0,0,0
"Q3MII6",0,0,0,0,0
"Q70YC4",0,0,0,0,0
"Q9NVV9",0,0,0,0,0
"Q6NUQ4",1,0,1,0,0
"Q9NXF1",1,0,1,0,0
"O14787",0,0,0,0,0
"Q5VSL9",0,0,0,0,0
"Q99584",0,0,0,0,0
"P40227",0,0,0,0,0
"Q6GV28",3,1,1,1,0
"Q86T26",2,1,1,0,0
"C9J3V5",0,0,0,0,0
"O60279",2,1,1,0,0
"Q86SZ2",0,0,0,0,0
"Q9Y3C4",0,0,0,0,0
"Q7M4L6",0,0,0,0,0
"Q9BQI5",0,0,0,0,0
"Q9NY99",0,0,0,0,0
"Q9NUR3",2,0,1,1,0
"Q9NWC5",2,0,1,1,0
"Q9UBN6",4,1,1,1,1
"P62249",0,0,0,0,0
"Q9HCN2",0,0,0,0,0
"P21580",0,0,0,0,0
"Q9H2H9",4,1,1,1,1
"Q8N4W9",0,0,0,0,0
"Q6NZY4",0,0,0,0,0
"Q5CZA5",0,0,0,0,0
"Q9UMX0",0,0,0,0,0
"Q96EG3",0,0,0,0,0
"Q8IWV7",0,0,0,0,0
"A8MX80",0,0,0,0,0
"Q9ULM3",0,0,0,0,0
"Q8WUN7",0,0,0,0,0
"Q8NA96",0,0,0,0,0
"A8K554",0,0,0,0,0
"O75820",0,0,0,0,0
"A6NEH8",0,0,0,0,0
"Q15849",2,1,0,1,0
"Q9BRU9",0,0,0,0,0
"A0A578",0,0,0,0,0
"A0A0C4DH59",0,0,0,0,0
"Q86UK7",0,0,0,0,0
"Q8ND25",0,0,0,0,0
"A6NKD2",0,0,0,0,0
"Q8IYH5",0,0,0,0,0
"P21283",0,0,0,0,0
"P15313",0,0,0,0,0
"Q8TBC5",0,0,0,0,0
"Q8N8P6",0,0,0,0,0
"Q8TAA9",1,0,0,1,0
"Q15722",4,1,1,1,1
"P16333",0,0,0,0,0
"Q8NHV5",1,1,0,0,0
"Q96G75",0,0,0,0,0
"Q9NX20",0,0,0,0,0
"Q86T96",1,0,1,0,0
"Q5XPI4",0,0,0,0,0
"Q96E14",0,0,0,0,0
"Q9UHA3",0,0,0,0,0
"P0DJ07",0,0,0,0,0
"Q9NWS8",0,0,0,0,0
"Q01974",3,1,1,1,0
"O14684",2,0,1,1,0
"P25105",3,1,0,1,1
"Q86XT4",0,0,0,0,0
"Q9BQ87",0,0,0,0,0
"Q6Q0C0",0,0,0,0,0
"P0CG34",0,0,0,0,0
"Q8IWR1",1,0,1,0,0
"O75865",0,0,0,0,0
"Q5JRV8",2,1,0,1,0
"O60343",1,0,0,1,0
"Q6ZNB5",0,0,0,0,0
"Q9BVG3",0,0,0,0,0
"P02787",1,0,1,0,0
"O60830",1,0,1,0,0
"P34981",2,1,0,1,0
"A2RRL7",2,1,1,0,0
"Q86UU9",0,0,0,0,0
"A0A1W2PP97",0,0,0,0,0
"A0PJX8",2,0,1,1,0
"Q8N7C4",2,1,0,1,0
"Q03519",0,0,0,0,0
"Q9GZT3",0,0,0,0,0
"Q7Z4S9",0,0,0,0,0
"P0C7Q5",1,0,1,0,0
"Q9H2Y9",3,1,1,1,0
"Q9UGK3",0,0,0,0,0
"Q6ZYL4",0,0,0,0,0
"Q9NP77",0,0,0,0,0
"Q8IZH2",0,0,0,0,0
"P21506",0,0,0,0,0
"Q9NYT6",0,0,0,0,0
"A6NK53",0,0,0,0,0
"Q3C1V9",0,0,0,0,0
"Q13454",2,0,1,1,0
"Q8IYB0",0,0,0,0,0
"Q9UHU1",0,0,0,0,0
"P15621",0,0,0,0,0
"P13682",0,0,0,0,0
"P42768",0,0,0,0,0
"P11441",0,0,0,0,0
"A2RRD8",0,0,0,0,0
"Q6ZNG0",0,0,0,0,0
"Q99726",2,0,1,1,0
"Q6ZR54",0,0,0,0,0
"Q9BWV7",0,0,0,0,0
"Q96NJ6",0,0,0,0,0
"Q96MR9",0,0,0,0,0
"P22309",0,0,0,0,0
"Q6PP77",1,0,0,1,0
"Q5GH73",2,0,1,1,0
"Q9Y3C8",0,0,0,0,0
"Q8NAF0",0,0,0,0,0
"Q9H609",0,0,0,0,0
"Q86V25",0,0,0,0,0
"Q8N6M9",0,0,0,0,0
"P61421",0,0,0,0,0
"Q2M2D7",0,0,0,0,0
"Q8NE28",0,0,0,0,0
"P09758",3,1,1,1,0
"Q7L0Y3",0,0,0,0,0
"P59535",2,0,1,1,0
"O95969",0,0,0,0,0
"O95411",0,0,0,0,0
"Q04726",0,0,0,0,0
"Q05952",0,0,0,0,0
"Q3SXP7",2,1,1,0,0
"Q96J01",0,0,0,0,0
"P63165",0,0,0,0,0
"P0CK96",1,0,1,0,0
"Q8N511",2,0,1,1,0
"P59544",2,0,1,1,0
"Q9Y5U5",4,1,1,1,1
"Q96BW9",0,0,0,0,0
"Q96S79",0,0,0,0,0
"Q9UP95",2,1,0,1,0
"Q8IX01",0,0,0,0,0
"Q16762",0,0,0,0,0
"P62081",0,0,0,0,0
"Q9BZJ3",0,0,0,0,0
"P19438",4,1,1,1,1
"Q8N7X2",0,0,0,0,0
"O14492",0,0,0,0,0
"P04278",0,0,0,0,0
"Q9UMY4",0,0,0,0,0
"Q9Y285",0,0,0,0,0
"Q9NRS6",0,0,0,0,0
"O76061",0,0,0,0,0
"Q8IYI0",0,0,0,0,0
"Q7Z403",2,0,1,1,0
"H3BS89",1,1,0,0,0
"P62306",0,0,0,0,0
"P00750",1,0,1,0,0
"Q6UXX9",1,0,1,0,0
"P18405",1,0,1,0,0
"Q8N413",0,0,0,0,0
"Q66K80",0,0,0,0,0
"Q96BY9",2,0,1,1,0
"P55809",0,0,0,0,0
"O95473",1,0,0,1,0
"Q6R2W3",0,0,0,0,0
"Q3B7S5",0,0,0,0,0
"Q6IMI4",0,0,0,0,0
"A0A286YF77",0,0,0,0,0
"O14828",2,0,1,1,0
"Q03167",4,1,1,1,1
"Q9NS26",0,0,0,0,0
"Q15477",0,0,0,0,0
"O95343",0,0,0,0,0
"P48067",3,1,1,1,0
"P82979",0,0,0,0,0
"Q9UH36",0,0,0,0,0
"Q8TEE9",0,0,0,0,0
"Q9UIE0",0,0,0,0,0
"O43865",0,0,0,0,0
"Q9UPS6",0,0,0,0,0
"P17480",0,0,0,0,0
"Q9Y5Z9",2,0,1,1,0
"O43516",0,0,0,0,0
"Q6ZRF7",0,0,0,0,0
"P61081",0,0,0,0,0
"P52742",0,0,0,0,0
"Q5MNZ9",0,0,0,0,0
"A6NGE7",0,0,0,0,0
"Q9H0M4",0,0,0,0,0
"Q8IZN3",2,0,1,1,0
"O60384",0,0,0,0,0
"Q9BTM9",0,0,0,0,0
"Q8N976",0,0,0,0,0
"Q9C0C9",0,0,0,0,0
"P17025",0,0,0,0,0
"Q49AG3",0,0,0,0,0
"Q14584",0,0,0,0,0
"Q86T29",0,0,0,0,0
"A0A584",0,0,0,0,0
"A6NH52",0,0,0,0,0
"P0CG31",0,0,0,0,0
"P63121",0,0,0,0,0
"Q86VK4",0,0,0,0,0
"P62699",0,0,0,0,0
"A8MUI8",0,0,0,0,0
"Q96QA6",0,0,0,0,0
"P14679",2,1,1,0,0
"O43818",0,0,0,0,0
"Q9H6S0",0,0,0,0,0
"Q8NEY4",0,0,0,0,0
"P62328",0,0,0,0,0
"Q3ZAQ7",1,0,1,0,0
"Q5SQQ9",0,0,0,0,0
"P49765",0,0,0,0,0
"Q00325",2,0,1,1,0
"Q6IE36",0,0,0,0,0
"Q99742",0,0,0,0,0
"Q9Y6M9",0,0,0,0,0
"Q16633",0,0,0,0,0
"P78345",0,0,0,0,0
"Q96BF3",2,1,0,1,0
"O43615",0,0,0,0,0
"Q6ZUK4",3,1,1,1,0
"Q8IV31",2,0,1,1,0
"Q9HCN3",2,1,1,0,0
"O94759",3,0,1,1,1
"A2RUT3",2,0,1,1,0
"Q8TF72",0,0,0,0,0
"P62851",0,0,0,0,0
"Q96FQ6",0,0,0,0,0
"Q8NBD8",2,0,1,1,0
"Q8NA77",0,0,0,0,0
"Q8NBJ7",0,0,0,0,0
"Q08170",0,0,0,0,0
"Q13621",3,1,1,1,0
"O60235",2,1,1,0,0
"O95900",0,0,0,0,0
"Q13243",0,0,0,0,0
"P08138",4,1,1,1,1
"Q658P3",2,0,1,1,0
"B4DYI2",1,0,1,0,0
"P59282",0,0,0,0,0
"Q92797",0,0,0,0,0
"Q9UKI8",0,0,0,0,0
"Q13487",0,0,0,0,0
"Q8NA61",0,0,0,0,0
"Q8ND04",0,0,0,0,0
"Q8IWB9",2,0,0,1,1
